% MSC Adams results for 4 bars inverse dynamics experiment.
% See README.md
% timestamp       torque            actual angle
   1.3000000e+00   5.0528550e+01   1.2767030e+02
   1.3050000e+00   5.0826760e+01   1.2802170e+02
   1.3100000e+00   5.1116000e+01   1.2836730e+02
   1.3150000e+00   5.1396370e+01   1.2870690e+02
   1.3200000e+00   5.1668010e+01   1.2904050e+02
   1.3250000e+00   5.1931030e+01   1.2936810e+02
   1.3300000e+00   5.2185570e+01   1.2968960e+02
   1.3350000e+00   5.2431770e+01   1.3000500e+02
   1.3400000e+00   5.2669770e+01   1.3031430e+02
   1.3450000e+00   5.2899690e+01   1.3061740e+02
   1.3500000e+00   5.3121700e+01   1.3091440e+02
   1.3550000e+00   5.3335930e+01   1.3120510e+02
   1.3600000e+00   5.3542530e+01   1.3148960e+02
   1.3650000e+00   5.3741660e+01   1.3176780e+02
   1.3700000e+00   5.3933450e+01   1.3203970e+02
   1.3750000e+00   5.4118070e+01   1.3230530e+02
   1.3800000e+00   5.4295670e+01   1.3256450e+02
   1.3850000e+00   5.4466400e+01   1.3281740e+02
   1.3900000e+00   5.4630400e+01   1.3306380e+02
   1.3950000e+00   5.4787840e+01   1.3330380e+02
   1.4000000e+00   5.4938860e+01   1.3353740e+02
   1.4050000e+00   5.5083610e+01   1.3376440e+02
   1.4100000e+00   5.5222250e+01   1.3398500e+02
   1.4150000e+00   5.5354910e+01   1.3419910e+02
   1.4200000e+00   5.5481750e+01   1.3440660e+02
   1.4250000e+00   5.5602900e+01   1.3460750e+02
   1.4300000e+00   5.5718510e+01   1.3480190e+02
   1.4350000e+00   5.5828720e+01   1.3498960e+02
   1.4400000e+00   5.5933660e+01   1.3517080e+02
   1.4450000e+00   5.6033470e+01   1.3534530e+02
   1.4500000e+00   5.6128270e+01   1.3551310e+02
   1.4550000e+00   5.6218200e+01   1.3567430e+02
   1.4600000e+00   5.6303360e+01   1.3582870e+02
   1.4650000e+00   5.6383880e+01   1.3597650e+02
   1.4700000e+00   5.6459890e+01   1.3611750e+02
   1.4750000e+00   5.6531470e+01   1.3625180e+02
   1.4800000e+00   5.6598750e+01   1.3637940e+02
   1.4850000e+00   5.6661820e+01   1.3650010e+02
   1.4900000e+00   5.6720780e+01   1.3661420e+02
   1.4950000e+00   5.6775730e+01   1.3672140e+02
   1.5000000e+00   5.6826740e+01   1.3682180e+02
   1.5050000e+00   5.6873900e+01   1.3691540e+02
   1.5100000e+00   5.6917290e+01   1.3700220e+02
   1.5150000e+00   5.6956980e+01   1.3708220e+02
   1.5200000e+00   5.6993040e+01   1.3715540e+02
   1.5250000e+00   5.7025530e+01   1.3722170e+02
   1.5300000e+00   5.7054500e+01   1.3728110e+02
   1.5350000e+00   5.7080000e+01   1.3733370e+02
   1.5400000e+00   5.7102080e+01   1.3737950e+02
   1.5450000e+00   5.7120780e+01   1.3741840e+02
   1.5500000e+00   5.7136130e+01   1.3745040e+02
   1.5550000e+00   5.7148150e+01   1.3747560e+02
   1.5600000e+00   5.7156870e+01   1.3749380e+02
   1.5650000e+00   5.7162300e+01   1.3750530e+02
   1.5700000e+00   5.7164460e+01   1.3750980e+02
   1.5750000e+00   5.7163350e+01   1.3750740e+02
   1.5800000e+00   5.7158960e+01   1.3749820e+02
   1.5850000e+00   5.7151280e+01   1.3748210e+02
   1.5900000e+00   5.7140320e+01   1.3745920e+02
   1.5950000e+00   5.7126030e+01   1.3742930e+02
   1.6000000e+00   5.7108400e+01   1.3739260e+02
   1.6050000e+00   5.7087410e+01   1.3734910e+02
   1.6100000e+00   5.7063000e+01   1.3729860e+02
   1.6150000e+00   5.7035140e+01   1.3724140e+02
   1.6200000e+00   5.7003780e+01   1.3717720e+02
   1.6250000e+00   5.6968860e+01   1.3710630e+02
   1.6300000e+00   5.6930330e+01   1.3702850e+02
   1.6350000e+00   5.6888130e+01   1.3694380e+02
   1.6400000e+00   5.6842170e+01   1.3685240e+02
   1.6450000e+00   5.6792400e+01   1.3675410e+02
   1.6500000e+00   5.6738710e+01   1.3664900e+02
   1.6550000e+00   5.6681040e+01   1.3653720e+02
   1.6600000e+00   5.6619290e+01   1.3641860e+02
   1.6650000e+00   5.6553360e+01   1.3629320e+02
   1.6700000e+00   5.6483160e+01   1.3616100e+02
   1.6750000e+00   5.6408580e+01   1.3602210e+02
   1.6800000e+00   5.6329510e+01   1.3587650e+02
   1.6850000e+00   5.6245830e+01   1.3572420e+02
   1.6900000e+00   5.6157440e+01   1.3556520e+02
   1.6950000e+00   5.6064210e+01   1.3539950e+02
   1.7000000e+00   5.5966010e+01   1.3522710e+02
   1.7050000e+00   5.5862720e+01   1.3504810e+02
   1.7100000e+00   5.5754200e+01   1.3486240e+02
   1.7150000e+00   5.5640320e+01   1.3467020e+02
   1.7200000e+00   5.5520950e+01   1.3447130e+02
   1.7250000e+00   5.5395940e+01   1.3426590e+02
   1.7300000e+00   5.5265140e+01   1.3405390e+02
   1.7350000e+00   5.5128430e+01   1.3383540e+02
   1.7400000e+00   5.4985640e+01   1.3361040e+02
   1.7450000e+00   5.4836630e+01   1.3337890e+02
   1.7500000e+00   5.4681260e+01   1.3314100e+02
   1.7550000e+00   5.4519360e+01   1.3289660e+02
   1.7600000e+00   5.4350790e+01   1.3264570e+02
   1.7650000e+00   5.4175400e+01   1.3238850e+02
   1.7700000e+00   5.3993030e+01   1.3212500e+02
   1.7750000e+00   5.3803540e+01   1.3185510e+02
   1.7800000e+00   5.3606760e+01   1.3157890e+02
   1.7850000e+00   5.3402560e+01   1.3129640e+02
   1.7900000e+00   5.3190770e+01   1.3100760e+02
   1.7950000e+00   5.2971260e+01   1.3071270e+02
   1.8000000e+00   5.2743870e+01   1.3041150e+02
   1.8050000e+00   5.2508470e+01   1.3010420e+02
   1.8100000e+00   5.2264900e+01   1.2979070e+02
   1.8150000e+00   5.2013020e+01   1.2947110e+02
   1.8200000e+00   5.1752720e+01   1.2914550e+02
   1.8250000e+00   5.1483840e+01   1.2881380e+02
   1.8300000e+00   5.1206260e+01   1.2847610e+02
   1.8350000e+00   5.0919860e+01   1.2813250e+02
   1.8400000e+00   5.0624520e+01   1.2778290e+02
   1.8450000e+00   5.0320120e+01   1.2742740e+02
   1.8500000e+00   5.0006560e+01   1.2706600e+02
   1.8550000e+00   4.9683720e+01   1.2669880e+02
   1.8600000e+00   4.9351510e+01   1.2632580e+02
   1.8650000e+00   4.9009850e+01   1.2594710e+02
   1.8700000e+00   4.8658640e+01   1.2556260e+02
   1.8750000e+00   4.8297810e+01   1.2517240e+02
   1.8800000e+00   4.7927280e+01   1.2477670e+02
   1.8850000e+00   4.7547010e+01   1.2437530e+02
   1.8900000e+00   4.7156920e+01   1.2396830e+02
   1.8950000e+00   4.6756990e+01   1.2355580e+02
   1.9000000e+00   4.6347160e+01   1.2313790e+02
   1.9050000e+00   4.5927420e+01   1.2271450e+02
   1.9100000e+00   4.5497750e+01   1.2228570e+02
   1.9150000e+00   4.5058130e+01   1.2185150e+02
   1.9200000e+00   4.4608570e+01   1.2141210e+02
   1.9250000e+00   4.4149090e+01   1.2096740e+02
   1.9300000e+00   4.3679690e+01   1.2051740e+02
   1.9350000e+00   4.3200430e+01   1.2006230e+02
   1.9400000e+00   4.2711340e+01   1.1960210e+02
   1.9450000e+00   4.2212480e+01   1.1913670e+02
   1.9500000e+00   4.1703910e+01   1.1866640e+02
   1.9550000e+00   4.1185720e+01   1.1819100e+02
   1.9600000e+00   4.0658000e+01   1.1771070e+02
   1.9650000e+00   4.0120840e+01   1.1722550e+02
   1.9700000e+00   3.9574370e+01   1.1673550e+02
   1.9750000e+00   3.9018720e+01   1.1624060e+02
   1.9800000e+00   3.8454020e+01   1.1574100e+02
   1.9850000e+00   3.7880420e+01   1.1523670e+02
   1.9900000e+00   3.7298090e+01   1.1472780e+02
   1.9950000e+00   3.6707220e+01   1.1421420e+02
   2.0000000e+00   3.6107980e+01   1.1369620e+02
   2.0050000e+00   3.5500590e+01   1.1317360e+02
   2.0100000e+00   3.4885260e+01   1.1264660e+02
   2.0150000e+00   3.4262220e+01   1.1211520e+02
   2.0200000e+00   3.3631710e+01   1.1157940e+02
   2.0250000e+00   3.2993990e+01   1.1103940e+02
   2.0300000e+00   3.2349320e+01   1.1049510e+02
   2.0350000e+00   3.1697980e+01   1.0994670e+02
   2.0400000e+00   3.1040270e+01   1.0939420e+02
   2.0450000e+00   3.0376490e+01   1.0883750e+02
   2.0500000e+00   2.9706950e+01   1.0827690e+02
   2.0550000e+00   2.9031980e+01   1.0771230e+02
   2.0600000e+00   2.8351920e+01   1.0714390e+02
   2.0650000e+00   2.7667130e+01   1.0657160e+02
   2.0700000e+00   2.6977960e+01   1.0599550e+02
